Region,Sub Region,Country,Year,Count,Rate
Americas,Northern America,United States of America,2014,686800,216.1660076
Americas,South America,Chile,2014,32870,186.6150617
Americas,South America,Colombia,2014,31675,66.27690615
Americas,South America,Ecuador,2014,12843,80.75777873
Americas,South America,Paraguay,2014,4108,62.69282469
Americas,South America,Peru,2014,17988,58.07572535
Americas,South America,Uruguay,2014,17193,502.7860424
Asia,Central Asia,Kazakhstan,2014,3855,22.04396567
Asia,Central Asia,Kyrgyzstan,2014,311,5.385686128
Asia,Eastern Asia,Japan,2014,59824,46.67810466
Asia,Eastern Asia,Macao Special Administrative Region of China,2014,355,60.2940652
Asia,Eastern Asia,Mongolia,2014,249,8.51603477
Asia,Eastern Asia,Republic of Korea,2014,5636,11.18574449
Asia,South-Eastern Asia,Indonesia,2014,42165,16.52679636
Asia,South-Eastern Asia,Myanmar,2014,1045,2.01254976
Asia,South-Eastern Asia,Philippines,2014,13284,13.27043112
Asia,South-Eastern Asia,Singapore,2014,314,5.763221178
Asia,South-Eastern Asia,Thailand,2014,11279,16.48572371
Asia,Southern Asia,Pakistan,2014,33243,17.91628704
Asia,Southern Asia,Sri Lanka,2014,1347,6.531363832
Asia,Western Asia,Armenia,2014,51,1.754856824
Asia,Western Asia,Azerbaijan,2014,63,0.66289476
Asia,Western Asia,Cyprus,2014,1187,103.010564
Asia,Western Asia,Lebanon,2014,10059,179.5198847
Asia,Western Asia,United Arab Emirates,2014,801,8.830467914
Europe,Eastern Europe,Belarus,2014,570,6.009583071
Europe,Eastern Europe,Bulgaria,2014,3721,51.52208935
Europe,Eastern Europe,Czech Republic,2014,17361,163.8057971
Europe,Eastern Europe,Hungary,2014,4803,48.94360582
Europe,Eastern Europe,Poland,2014,17083,44.61121676
Europe,Eastern Europe,Republic of Moldova,2014,178,4.373529923
Europe,Eastern Europe,Romania,2014,5428,27.17704775
Europe,Eastern Europe,Russian Federation,2014,50175,34.90158532
Europe,Eastern Europe,Slovakia,2014,2297,42.27990475
Europe,Northern Europe,Denmark,2014,284,5.014200427
Europe,Northern Europe,Estonia,2014,597,45.28356844
Europe,Northern Europe,Finland,2014,7004,128.2850375
Europe,Northern Europe,Iceland,2014,58,17.65821609
Europe,Northern Europe,Ireland,2014,7763,165.6514125
Europe,Northern Europe,Latvia,2014,1323,65.62093124
Europe,Northern Europe,Lithuania,2014,1255,42.37222327
Europe,Northern Europe,Norway,2014,6586,128.1245434
Europe,Northern Europe,Sweden,2014,27995,288.9246944
Europe,Northern Europe,United Kingdom (England and Wales),2014,75774,131.9905532
Europe,Northern Europe,United Kingdom (Northern Ireland),2014,2025,110.0245694
Europe,Northern Europe,United Kingdom (Scotland),2014,5423,101.4099783
Europe,Southern Europe,Albania,2014,401,13.72923282
Europe,Southern Europe,Andorra,2014,0,0
Europe,Southern Europe,Bosnia and Herzegovina,2014,1361,38.16599093
Europe,Southern Europe,Croatia,2014,633,14.86776497
Europe,Southern Europe,Greece,2014,25094.02363,222.7663916
Europe,Southern Europe,Holy See,2014,0,0
Europe,Southern Europe,Italy,2014,176461,296.1467177
Europe,Southern Europe,Kosovo under UNSCR 1244,2014,223,12.24064112
Europe,Southern Europe,Malta,2014,242,56.86491059
Europe,Southern Europe,Montenegro,2014,21,3.345685818
Europe,Southern Europe,Portugal,2014,13723,131.0551029
Europe,Southern Europe,Serbia,2014,1896,21.34002768
Europe,Southern Europe,Slovenia,2014,594,28.68394303
